"","en","af","am","ar","as","az","be","bg","bn","bs","cs","da","de","dv","el","es","et","fa","fi","fr","ga","he","hi","hr","hy","id","is","it","ja","jv","ka","kk","ko","ky","lb","lt","lv","mk","mn","ms","mt","my","ne","nl","no","pl","ps","pt","ro","ru","sk","sl","so","sq","sr","su","sv","sw","tg","th","tk","tl","tr","uk","ur","uz","vi","zh"
"obese","obese","vetsugtig","ወፍራም","سمنة","মেদবহুল","şişman","атлусценнем","затлъстели","স্থূল","gojazan","obézní","overvægtige","übergewichtig","ފަލަވުން","παχύσαρκος","obeso","rasvunud","چاق","ylipainoinen","obèse","murtallach","שָׁמֵן מְאֹד","मोटा","pretilo","գեր","gendut","offitu","obeso","肥満","lemu","სიმსუქნე","семіздік","뚱뚱한","семирүү","fettleibeg","nutukę","aptaukošanās","дебели","таргалалт","gemuk","obeżi","အဝလွန်ခြင်း။","मोटोपन","zwaarlijvig","overvektige","otyły","چاقۍ","obeso","obezi","толстый","obézny","debel","cayilan","i trashë","гојазни","obese","fet","feta","фарбеҳ","อ้วน","semiz","napakataba","obez","ожирінням","موٹے","semiz","Béo phì","肥胖的"
"obesity","obesity","vetsug","ከመጠን ያለፈ ውፍረት","بدانة","মেদবহুলতা","piylənmə","атлусценне","затлъстяване","স্থূলতা","gojaznost","obezita","fedme","Fettleibigkeit","ފަލަބަލި","ευσαρκία","obesidad","ülekaalulisus","چاقی","lihavuus","obésité","raimhre","הַשׁמָנָה","मोटापा","pretilost","գիրություն","kegemukan","offita","obesità","肥満","kelemon","სიმსუქნე","семіздік","비만","семирүү","Adipositas","nutukimas","aptaukošanās","дебелината","таргалалт","obesiti","obeżità","အဝလွန်ခြင်း။","मोटोपना","zwaarlijvigheid","fedme","otyłość","چاقۍ","obesidade","obezitatea","ожирение","obezita","debelost","cayilka","obeziteti","гојазност","obesitas","fetma","fetma","фарбеҳӣ","โรคอ้วน","semizlik","labis na katabaan","şişmanlık","ожиріння","موٹاپا","semizlik","béo phì","肥胖"
"overweight","overweight","oorgewig","ከመጠን በላይ ክብደት","زيادة الوزن","অতিৰিক্ত ওজন","çəki artıqlığı","залішняя вага","наднормено тегло","অতিরিক্ত ওজন","prekomjerna težina","nadváha","overvægtig","Übergewicht","ބަރުދަން އިތުރުވުން","υπέρβαρος","exceso de peso","ülekaaluline","اضافه وزن","ylipainoinen","en surpoids","róthrom","משקל עודף","अधिक वजन","pretežak","ավելորդ քաշը","kegemukan","of þungur","sovrappeso","太りすぎ","kabotan","ჭარბი წონა","артық салмақ","초과 중량","ашыкча салмак","Iwwergewiicht","antsvorio","liekais svars","прекумерна тежина","илүүдэл жинтэй","berat badan berlebihan","piż żejjed","အဝလွန်ခြင်း။","अधिक तौल","overgewicht","overvektig","nadwaga","ډیر وزن","acima do peso","supraponderal","лишний вес","nadváhu","prekomerno telesno težo","cayilan","mbipeshë","прекомерна тежина","kaleuwihan beurat","övervikt","uzito kupita kiasi","вазни зиёдатӣ","น้ำหนักเกิน","aşa agram","sobra sa timbang","kilolu","надмірна вага","زیادہ وزن","ortiqcha vazn","thừa cân","超重"
"obesity epidemic","obesity epidemic","vetsugtigheidsepidemie","ከልክ ያለፈ ውፍረት ተላላፊ በሽታ","وباء السمنة","মেদবহুলতাৰ মহামাৰী","şişmanlıq epidemiyası","эпідэмія атлусцення","епидемия от затлъстяване","স্থূলতা মহামারী","epidemija pretilosti","epidemie obezity","fedmeepidemi","Fettleibigkeitsepedemie","ފަލަވުމުގެ ބަލިމަޑުކަމެވެ","επιδημία παχυσαρκίας","epidemia de obesidad","rasvumise epideemia","اپیدمی چاقی","liikalihavuusepidemia","épidémie liée à l'obésité","eipidéim an mhurtaill","מגפת ההשמנה","मोटापा महामारी","epidemija pretilosti","ճարպակալման համաճարակ","epidemi obesitas","offitufaraldur","epidemia di obesità","肥満の流行","epidemi kelemon","სიმსუქნის ეპიდემია","семіздік эпидемиясы","비만 감염병 유행","cемирүү эпидемиясы","Adipositas-Epidemie","nutukimo epidemija","aptaukošanās epidēmija","епидемија на гојазност","таргалалт ихсэх","epidemik obesiti","epidemija tal-obeżità","အဝလွန် ကပ်ရောဂါ","ठुलो महामारी","obesitas-epidemie","fedmeepidemi","epidemia otyłości","د چاغښت ناروغي","epidemia de obesidade","obezitate epidemie","эпидемия ожирения","epidémia obezity","epidemija debelosti","cayilka saf-marka ah","epidemia e obezitetit","епидемија гојазности","epidemi kagendutan","Fetma-epidemi","janga la unene kupita kiasi","эпидемияи фарбеги","โรคอ้วนระบาด","semizlik epidemiýasy","epidemya ng obesity","obezite epidemisi","епідемія ожиріння","موٹاپے کی عالمی بیماری","semizlik epidemiyasi","dịch bệnh béo phì","肥胖流行"
"flab","flab","flap","flab","شحم","flab","flab","млявы","отпуснат","ফ্ল্যাব","flab","měkká tkáň","flab","Speck","ފްލެބް","flab","flacidez","flab","شل و ول","flab","graisse","flab","פלאב","flab","mlohav","տափակ","lemak","flab","ciccia","ぜい肉","flab","ფლაბი","flab","군살","flab","flaf","flab","flab","flab","flab","lembik","flab","flab","फ्ल्याब","flauw","flab","flak","فلب","flacidez","flab","дряблый","tukové tkanivo","mlahav","flab","flab","флаб","flab","flab","flab","флаб","แฟบ","flab","flab","şişko","млявість","فلیب","flab","nhão","松弛"
"flabby","flabby","slap","ተንኮለኛ","مترهل","flabby","yaltaq","адрузлы","отпуснат","চঞ্চল","mlohav","ochablý","slap","schlaff","ފްލެބީ އެވެ","πλαδαρός","flácido","lõtv","شل و ول","vetelä","flasque","flabby","רָפוּי","मृदु","mlitav","թուլամորթ","lembek","slappur","flaccido","たるんだ","lembek","ფლაბი","жалқау","연약한","саркеч","flou","suglebęs","ļengans","млитава","сул дорой","lembik","flabby","ပျော့ညံ့သော","लज्जास्पद","slap","slapp","wiotki","سپک","flácido","flasc","дряблый","ochabnutý","mlahavo","badhaadhe","i dobët","млохав","leuleus","slapp","flabby","суст","ป้อแป้","gümürtik","malabo","gevşek","в'ялий","بے چین","xira","nhão","松弛"
"being overweight","being overweight","oorgewig wees","ከመጠን በላይ መወፈር","زيادة الوزن","অতিৰিক্ত ওজন হোৱা","artıq çəki","залішняя вага","да бъдеш с наднормено тегло","মাত্রাতিরিক্ত ওজনের হচ্ছে","prekomjerna težina","mít nadváhu","at være overvægtig","übergewichtig sein","ބަރުދަން އިތުރުވުމެވެ","να είναι κάποιος υπέρβαρος","tener sobrepeso","ülekaalulisus","اضافه وزن داشتن","olla ylipainoinen","être en surpoids","a bheith róthrom","עודף משקל","अधिक वजन होने के नाते","imati previse kilograma","ավելորդ քաշ լինելը","kelebihan berat badan","að vera of þung","essere sovrappeso","重量超過","kang kabotan","ჭარბი წონა","артық салмақ","과체중","ашыкча салмак","Iwwergewiicht sinn","esant antsvoriui","liekais svars","прекумерна тежина","илүүдэл жинтэй байх","berat badan berlebihan","piż żejjed","အဝလွန်ခြင်း။","अधिक तौल हुनु","Overgewicht hebben","å være overvektig","mieć nadwagę","ډیر وزن درلودل","estar acima do peso","a fi supraponderal","лишний вес","mať nadváhu","prekomerna telesna teža","cayilan","duke qenë mbipeshë","прекомерна тежина","keur kaleuwihan beurat","vara överviktig","kuwa na uzito kupita kiasi","вазни зиёдатӣ","น้ำหนักเกิน","aşa semremek","pagiging sobra sa timbang","Aşırı kilolu olmak","надмірна вага","بھاری بھرکم ہنا","ortiqcha vaznli bo'lish","thừa cân","超重"
"gained weight","gained weight","gewig opgetel","ክብደት ጨምሯል","اكتسبت وزنا","ওজন বৃদ্ধি পালে","çəki qazandı","набраў вагу","качил килограми","ওজন বেড়েছে","dobio na težini","získaná váha","taget på","zugenommen","ބަރުދަން އިތުރުވެއްޖެއެވެ","πήρε βάρος","peso ganado","võttis kaalus juurde","وزن اضافه کرد","lihonut","a pris du poids","meáchan a fuarthas","עלתה במשקל","मोटा हो गया हूँ","udebljao se","քաշ հավաքեց","berat badan bertambah","þyngdist","ha preso peso","体重が増えた","gained bobot","მომატებული წონა","салмақ қосты","살 쪘다","салмак кошту","Gewiicht gewonnen","priaugo svorio","pieņēmās svarā","се здебели","жин нэмсэн","berat badan bertambah","kisbet piż","ကိုယ်အလေးချိန်တက်လာတယ်။","वजन बढ्यो","aan gekomen","la på seg","przybrał na wadze","وزن یې ترلاسه کړ","ganhou peso","a luat proporții","пополнел","pribrala","pridobila na teži","miisaan korodhay","fitoi peshë","удебљати се","meunang beurat","gick upp i vikt","kupata uzito","вазн гирифт","น้ำหนักขึ้น","agramyny artdyrdy","tumaba","kilo aldı","набрав вагу","حاصل کردہ وزن","kilogramm oldi","tăng cân","体重增加"
"weight gain","weight gain","gewig optel","የክብደት መጨመር","زيادة الوزن","ওজন বৃদ্ধি","kökəlmək","павелічэнне вагі","качване на тегло","ওজন বৃদ্ধি","debljanje","přibývání na váze","vægtøgning","Gewichtszunahme","ބަރުދަން އިތުރުވުމެވެ","αύξηση βάρους","aumento de peso","kaalutõus","افزایش وزن","painonnousu","gain de poids","meáchan a fháil","עלייה במשקל","भार बढ़ना","debljanje","քաշ ավելացնել","penambahan berat badan","þyngdaraukning","aumento di peso","体重の増加","gain bobot","წონის მომატება","салмақ қосу","살찌 다","салмак кошуу","bäihuelen","svorio priaugimas","svara pieaugums","зголемување на телесната тежина","жин нэмэх","pertambahan berat badan","żieda fil-piż","အလေးချိန်တိုးလာသည်","वजन वृद्धि","gewichtstoename","vektøkning","przybranie na wadze","وزن ډیریدل","ganho de peso","creștere în greutate","увеличение веса","nabrať váhu","povečanje telesne mase","miisaanka oo kordha","shtim në peshë","добијање на тежини","gain beurat","viktökning","kupata uzito","афзоиши вазн","น้ำหนักมากขึ้น, น้ำหนักเพิ่มขึ้น, อ้วนขึ้น","agramyny ýokarlandyrmak","Dagdag timbang","kilo almak","збільшення ваги","وزن کا بڑھاؤ","vazn yig'moq","tăng cân","体重增加"
"morbidly obese","morbidly obese","morbied vetsugtig","በበሽታ ከመጠን በላይ ወፍራም","البدانة المفرطة","ৰোগজনিতভাৱে মেদবহুল","morbid obez","хваравітае атлусценне","болестно затлъстяване","আপনি সঙ্গীত পছন্দ","morbidno gojazan","morbidně obézní","sygeligt overvægtige","krankhaft übergewichtig","މޮރބިޑްލީ އޮބެސް އެވެ","νοσηρά παχύσαρκοι","obesidad mórbida","haiglaselt rasvunud","چاقی مفرت","sairaalloisen lihava","obésité morbide","morbidly otrach","השמנת יתר חולנית","बहुत अधिक मोटापा","morbidno pretilo","հիվանդագին գեր","sangat gemuk","sjúklega offitu","patologicamente obesi","病的肥満","morbidly lemu","ავადმყოფურად სიმსუქნე","ауыр семіздік","병적 비만","оорулуу семиздик","morbid fettleibeg","liguistai nutukęs","slimīgi aptaukošanās","морбидно дебели","хүнд таргалалттай","gemuk teruk","obeżi morbożi","အဝလွန်ခြင်း။","बिरामी रूपमा मोटोपन","morbide obesitas","sykelig overvektig","chorobliwie otyłych","ناروغه چاقۍ","Obesidade mórbida","obezi morbid","ожирением","morbídne obézny","morbidno debel","si xun u buuran","obez në mënyrë morbide","морбидно гојазан","morbidly obese","sjukligt överviktig","morbidly feta","фарбеҳии бемор","เป็นโรคอ้วน","näsag semiz","napakataba","morbid obezi","хворобливе ожиріння","موٹاپا","morbid semizlik","bệnh béo phì","病态肥胖"
